Blwyddyn,Nifer,Cyfanswm o eiriau yn y flwyddyn hon,Canran o eiriau,Dyfyniad fel enghraifft,
1867,1438,49171578,0.0029244536345773,"EISTEDDFOD IFORAIDD LLANELLI  I At Ymgeisyadt I SYB    Prynwoh y Pjogtam  Llandlif Mai 4ydd  1667  Ysg     ",
1868,1504,53236200,0.0028251452958701,"Eisteddfod y De oedd yr eisteddfod  a phapyr y De ddylai gael y feirniadaeth  0 d wllwch deued allan  I oleu eu yr haul can  SHANCO",
1869,1869,69469454,0.0026903910890101,"Eisteddfod raewn dyled o X 1276 17s  4c  Cyanyrcbodd Eisteddfod Caerfyrddin yn 1867     4178 4c  o r swm uchod  Eisteddfod Caer  1866     500  a Ruthin  1868  jEMQ  Ya ychwanegol at hyn  yr oedd X150 ",
1870,1607,63563121,0.002528195555407,"Eisteddfod Ciadeiriol Eryrl  Ydwyf   e   IJLAIS 0 8 IIJAWS",
1871,1282,65948093,0.0019439531026318,"Eisteddfod from our own correspondent with a full history of the Eisteddfod and Gorsedd  their object   c",
1872,1963,65675050,0.0029889585162097,"AT YSGRIF ENYDU EISTEDDFOD Y TA BEEN ACL  MAESTEG  SYR    Gan fod y feirniadaeth ar y testunau a gyfansoddwyd i r eisteddfod uchod genych chwi  a fyddwch mor garedig a i hanfon i r SEREN  neu ryw bapy",
1873,2552,91799643,0.002779967237999,"Eisteddfod was brought to a successful close yesterday",
1874,2565,82860526,0.0030955632601222,"Eisteddfod will be held at this picturesque village  which is situated near Towyn  on the 11th inst  We trust that the Eisteddfod will be thoroughly successful",
1875,3104,91562127,0.0033900479397994,"Eisteddfod i r GWLADGARWR   YM     EISYDD",
1876,3468,97135125,0.0035702841788694,"Eisteddfod uchod  sef eiddo Elaliwr  Rosser  Ezra  A B C  aPbilologus  Brioon Ferry  CYNAXAW",
1877,3419,98662690,0.0034653423700489,"Eisteddfod Troedyrhiw",
1878,4311,111275420,0.0038741709534774,"Eisteddfod a gynaliwyd yn Jjrms Hotel  dan naicdd Odyddion Cpfrinfa  if tat Dufodwg   Anoet 17 18 78",
1879,3842,109727640,0.0035013967310333,"Eisteddfod Committee have  Voided not to hold thoir eisteddfod this year  An eisteddfod   ill to be held at Abergavenny in tha summer",
1880,4337,108454329,0.0039989182912192,"Eisteddfod meet  I  Ings at Carnarvon",
1881,4294,112828661,0.0038057705922789,"EISTEDDFOD JERUSALEM  RIIYMNl  NADOLIG  1880",
1882,3870,113410111,0.003412394155932,"Eisteddfod uchod hyd Medi y 18fed nesaf  oherwydd fod y corau yn ymbarotoi gyferbyn ag Eisteddfod y Feni  Y mae y programmes yn awr yn barod",
1883,4251,112873896,0.0037661497925083,"EISTEDDFOD GENHEDLAETHOL DINBYCH   Y CYFANSODDIADAU BUDDUGOL    Gweler hysbysiad am gyfansoddiadau yr eisteddfod hon mewn eolofn arall ",
1884,4529,110919980,0.0040831237077396,"Eisteddfod on Friday  the Archdruid announced that a local Eisteddfod will be held in Caerwys in June  1885  The last Eisteddfod held in Caerwys was in the reign of Queen Elizabeth    ",
1885,3961,126238044,0.0031377228880384,"EISTEDDFOD MEIBION  Da genym ganfod cor enwog Tanygrieiau eto yn fuddagol yn yr eisteddfod hon  Llwydded eto",
1886,3363,104711364,0.0032116857918115,"Cyhoeddir yn awr destynau eisteddfod Caernarfon",
1887,3846,118974452,0.0032326267827651,"Eisteddfod Her  mon  Abergwaun  Meh  17eg  1887",
1888,4089,115241641,0.0035481966106331,"EISTEDDFOD YSTRADGYNLAIS    Bydded hysbys y gohlrlr yr eisteddfod uchod hyd rhybndd pellaeh  YSQ",
1889,3715,126404159,0.0029389855756249,"Eisteddfod uchod hyd hys  bysrwydd pellack",
1890,4571,136945744,0.0033378182238361,"EISTEDDFOD CARMEJ TREHERBf  C   nKji v  ",
1891,4860,162946777,0.0029825689648345,"gael eisteddfod gyfyngedig i Eglwyswyr Deoniaeth Ardudwy",
1892,5815,185519220,0.0031344461236954,"Eisteddfod Wiiit Monday",
1893,7253,217757695,0.0033307663364089,"FESTIVAL HALL NEUADD YR EISTEDDFOD",
1894,8940,226641040,0.0039445636147804,"CARNARVON EISTEDDFOD",
1895,9430,238729592,0.0039500758665897,"Eisteddfod  York Rd  Congregational Church      28th  City Road Eisteddfod  South Place Institute",
1896,8798,211864213,0.0041526597981888,"PROCLAMATION OF THE 1897 EISTEDDFOD",
1897,8268,195034713,0.0042392453491087,"Eisteddfod",
1898,7300,212707882,0.0034319367629263,"Eisteddfod uchod  hyd ddyddiad pellach  J  DAVIES  Ysg",
1899,11166,269941641,0.004136449626162,"I THE EISTEDDFOD PAVILION  J",
1900,8277,256129111,0.0032315733138198,"MORRISTON EISTEDDFOD  Xmas and  fclriviiifi Days",
1901,6328,179968157,0.003516177586905,"Eisteddfod Widnes  Mawrth 2   Cyngherdd y Cymric yn Hope Hall  Llun y Pasg Prawf Gyngherdd yn Nghonwy  Pasg   Eisteddfod Gerddorol yn Nghaer  Pasg   Eisteddfod Dinbych  Ebrill 27   Eisteddfod Tyldesle",
1902,7174,180834188,0.0039671701901855,"Eisteddfod is being held thi week at Bangor",
1903,6921,179386842,0.0038581425052346,"CHIEF CHORAL COMPETITION AT THE NATIONAL EISTEDDFOD",
1904,6546,179144156,0.0036540404923954,"Eisteddfod y Twr  New Brighton Tachwedd 26   Eisteddfod Prescot  Rhag  9 a 1C Eisteddfod Penygroes  Rhagfyr 26   Eisteddfod y Temlwyr Da",
1905,5825,192595716,0.0030244701808424,"Eisteddfod  December 26  1905   Entries Close Decembe",
1906,8091,201810906,0.0040091985910811,"LLANON  EISTEDDFOD    The eisteddfod is to be held on Thursday",
1907,9621,229146591,0.0041986223569872,"SWANSEA EISTEDDFOD  CLAIMS FOR INJURIES AND LOSSES",
1908,9035,225635736,0.0040042415976164,"Eisteddfod",
1909,10906,241771316,0.0045108742345597,"THE WELSH NATIONAL EISTEDDFOD  See Pages 2 3   7",
1910,11110,257268445,0.0043184464383108,"Eisteddfod on Tuesday",
1911,128,1687309,0.007586043812959,"Eisteddfod  The annual Llantwit Fardfo Eisteddfod takes place on Good Friday at Salem Baptist Chapel  There are numerous entries in each of the competitions  and the fixture will undoubtedly prove  as",
1912,128,1606897,0.0079656630138708,"Eisteddfod Tir Iarll which was  held at Maesteg on Monday last  the fol  lowing were successful in securing vic  tories Tenor solo  novice   Myrddin Watkins   Ystrad  Action song  2nd  Ystrad Blacksmi",
1913,1797,31543671,0.0056968638811887,"GREENFIELD  HOLYWELL EISTEDDFOD  Entries close February 22nd    Advt  4",
1914,6499,86810532,0.0074864188137909,"Eisteddfod Gadeiriol Cymmer  Porth  Mawrthgwyn Mehefin 2  1914     Eisteddfod Fforestfach  Dydd Sadwrn  Mehefin 20  1914     Eisteddfod Gadeiriol Pontardawe",
1915,4727,83761493,0.0056434046608983,"Eisteddfod  Record e ",
1916,4648,71981643,0.0064572018729831,"Eisteddfod Merthyr Vale    Tachwedd 9  1916  Cyngherdd Cystauletiol Moriah  Bed  linog    Tachwedd 9  1916  Eisteddfod Gadeiriol Bodringallt  Ystrad Rhondda  Nadolig  Rhag  25  1916  Eisteddfod Pisgah",
1917,4640,62340806,0.0074429579880632,"Eisteddfod January 12th  1919",
1918,4614,52045208,0.0088653695072176,"Eisteddfod   ",
1919,5074,57325137,0.0088512653707221,"Eisteddfod  Saturday Next  com  meu ciut 11   M",
