Blwyddyn,Nifer,Cyfanswm o eiriau yn y flwyddyn hon,Canran o eiriau,Dyfyniad fel enghraifft,
1908,74,225635736,3.2796223378375E-5,"Father Christmas   and Miss Bessie Kendrick took third prize in the ladies  class  Christmas Ornaments ",
1909,128,241771316,5.2942591419736E-5,"STUFFING IS GOOD FOR GEESE  FATHER CHRISTMAS  Dear me This is very unforinnate  I  svonder if lie will Fe able to spare me a few moTiieiite",
1910,154,257268445,5.9859653600347E-5,"Father Christmas  assisted by a little Wood Nymph  distributing Queen Mary s toys to little children in the Royal Waterloo Hospital   Topical",
1911,2,1687309,0.00011853193457748,"Father Christmas   hoop  hills  ribbon drills   washer women   Caller Herring   Mr  David Davies proved an energetic auctioneer  while a very touching recitation was given by Master Parry Williams  A ",
1912,1,1606897,6.2231742295866E-5,"Father Christmas has arrived at Mr  D  R  Davies  the popular draper  Chel  tenham House  Tonypandy  with big loads of delightful toys all the way from Toy  land  Mechanical and other toys of every de",
1913,25,31543671,7.9255201463393E-5,"Father Christmas  Appended is the programme Song  Father Christmas glee  Christmas Tree   School Children  recit  ation  Santa Claus   Miss Maggie Jones song  Ar Hyd y Nos   Miss Lottie Evans recitati",
1914,66,86810532,7.6027641438714E-5,"Father Christmas brought him  Mrs  Chatterton  resignedly   Yes  he has discovered he can get dirtier play    ing with it than with any present he ever had      ",
1915,48,83761493,5.7305568801167E-5,"Father Christmas is hard at work now taking presents to local lads at the front   Drawn by Mr  Harry Evans  10  Glyndu street  Morriston            i            mmmm   mmm   mmw   i         mmmmm   fc",
1916,51,71981643,7.0851397487551E-5,"Father Christmas   After being regaled with fruit and confectionery  each child upon leaving was handed a shilling",
1917,35,62340806,5.6143002065132E-5,"Father Christmas Paper Bag has sold alreadv to the extent of 1  o00 000  By the time the shopping season begins the most enterprising and patriotic shopkeepers will thus remind people that whatever el",
1918,31,52045208,5.9563600937093E-5,"Father Christmas paid a visit to the amusement of all the children  At the close of the meeting Mrs  Roberts distributed the presents and also apples and oranges",
1919,40,57325137,6.9777417191345E-5,"FATHER CHRISTMAS AT WKXVOH SCHOOL  i ii  ide their own Christmas puddings bv each bringing something towards the in  igredients  and preparing the whole together  They then invited their teachers and ",
